Model Type,Training Split Ratio,Max Depth,Criterion,Number of Trees,Mean Accuracy
Decision Tree,0.35,6,gini,,0.9961286919831224
Decision Tree,0.45,6,gini,,0.9958233041575485
Decision Tree,0.2,6,gini,,0.9957723076923081
Decision Tree,0.25,6,gini,,0.9957163958641067
Decision Tree,0.15,6,gini,,0.9954388843314192
Decision Tree,0.1,6,gini,,0.9953751537515377
Decision Tree,0.3,6,gini,,0.9952214930270717
Decision Tree,0.4,6,gini,,0.9951999999999999
Random Forest,0.25,6,gini,126.0,0.994426390940424
Random Forest,0.2,6,gini,125.0,0.9944246153846156
Random Forest,0.35,6,gini,128.0,0.9942440225035163
Random Forest,0.1,6,gini,128.0,0.9942312423124234
Random Forest,0.2,6,gini,128.0,0.9942092307692308
Random Forest,0.1,6,gini,126.0,0.994120541205412
Random Forest,0.2,6,gini,127.0,0.9940923076923076
Random Forest,0.25,6,gini,128.0,0.994086656819301
Random Forest,0.4,6,gini,125.0,0.9940769230769229
Random Forest,0.45,6,gini,130.0,0.9940590809628008
Random Forest,0.25,6,gini,125.0,0.9940472673559825
Random Forest,0.4,6,gini,128.0,0.9940369230769234
Random Forest,0.15,6,gini,128.0,0.9940278917145199
Random Forest,0.35,6,gini,126.0,0.9940014064697611
Random Forest,0.35,6,gini,127.0,0.993994374120957
Random Forest,0.45,6,gini,127.0,0.993990700218818
Random Forest,0.3,6,gini,128.0,0.9939704675963904
Random Forest,0.25,6,gini,130.0,0.9939684884293452
Random Forest,0.1,6,gini,125.0,0.9939360393603942
Random Forest,0.15,6,gini,127.0,0.9939294503691549
Random Forest,0.15,6,gini,130.0,0.9939212469237078
Random Forest,0.3,6,gini,129.0,0.9938966365873665
Random Forest,0.4,6,gini,129.0,0.9938830769230766
Random Forest,0.2,6,gini,130.0,0.9938646153846159
Random Forest,0.45,6,gini,129.0,0.993862144420131
Random Forest,0.35,6,gini,129.0,0.9938537271448663
Random Forest,0.25,6,gini,127.0,0.9938306253077304
Random Forest,0.45,6,gini,128.0,0.9938293216630198
Random Forest,0.4,6,gini,127.0,0.9938184615384614
Random Forest,0.2,6,gini,126.0,0.9938153846153849
Random Forest,0.3,6,gini,127.0,0.993794093519278
Decision Tree,0.45,6,entropy,,0.9937746170678338
Random Forest,0.1,6,gini,130.0,0.9937638376383766
Random Forest,0.4,6,gini,126.0,0.9937538461538463
Random Forest,0.15,6,gini,129.0,0.9937489745693192
Random Forest,0.35,6,gini,130.0,0.993748241912799
Random Forest,0.45,6,gini,126.0,0.9937335886214437
Random Forest,0.3,6,gini,126.0,0.9937038556193604
Random Forest,0.25,6,gini,129.0,0.9936976858690306
Random Forest,0.35,6,gini,125.0,0.9936954992967653
Random Forest,0.15,6,gini,125.0,0.99363412633306
Random Forest,0.2,6,gini,129.0,0.9936246153846158
Random Forest,0.45,6,gini,125.0,0.9936132385120346
Random Forest,0.4,6,gini,130.0,0.9936123076923079
Random Forest,0.15,6,gini,126.0,0.9935931091058243
Random Forest,0.1,6,gini,129.0,0.9935424354243547
Random Forest,0.3,6,gini,125.0,0.9935028712059064
Random Forest,0.3,6,gini,130.0,0.9934905660377357
Random Forest,0.1,6,gini,127.0,0.9933948339483402
Decision Tree,0.25,6,entropy,,0.9928902018709997
Decision Tree,0.35,6,entropy,,0.9924578059071734
Random Forest,0.1,6,entropy,125.0,0.9922509225092252
Random Forest,0.15,6,entropy,129.0,0.992231337161608
Decision Tree,0.4,6,entropy,,0.992181538461539
Random Forest,0.2,6,entropy,130.0,0.9921230769230772
Random Forest,0.2,6,entropy,125.0,0.9921107692307689
Random Forest,0.25,6,entropy,129.0,0.9921073362875426
Random Forest,0.15,6,entropy,126.0,0.9921000820344544
Random Forest,0.25,6,entropy,128.0,0.9920827178729696
Random Forest,0.35,6,entropy,127.0,0.9920464135021096
Random Forest,0.25,6,entropy,125.0,0.9920187099950765
Random Forest,0.4,6,entropy,126.0,0.9920153846153851
Random Forest,0.4,6,entropy,129.0,0.9919999999999998
Random Forest,0.3,6,entropy,130.0,0.9919729286300246
Random Forest,0.4,6,entropy,128.0,0.9919600000000003
Random Forest,0.35,6,entropy,128.0,0.9919514767932491
Random Forest,0.45,6,entropy,130.0,0.9919502188183804
Random Forest,0.45,6,entropy,129.0,0.9919474835886216
Random Forest,0.15,6,entropy,127.0,0.9919442165709595
Random Forest,0.3,6,entropy,129.0,0.9919196062346185
Random Forest,0.4,6,entropy,125.0,0.9919046153846159
Random Forest,0.25,6,entropy,130.0,0.9919005416051209
Random Forest,0.2,6,entropy,129.0,0.991883076923077
Random Forest,0.3,6,entropy,128.0,0.991882690730106
Random Forest,0.45,6,entropy,125.0,0.9918818380743981
Random Forest,0.3,6,entropy,127.0,0.991878589007383
Random Forest,0.45,6,entropy,126.0,0.9918763676148794
Decision Tree,0.2,6,entropy,,0.9918646153846161
Random Forest,0.1,6,entropy,129.0,0.9918573185731856
Random Forest,0.2,6,entropy,127.0,0.9918523076923081
Random Forest,0.45,6,entropy,128.0,0.9918435448577685
Random Forest,0.15,6,entropy,130.0,0.9918211648892534
Random Forest,0.35,6,entropy,125.0,0.9918143459915615
Random Forest,0.4,6,entropy,130.0,0.9917999999999997
Random Forest,0.25,6,entropy,127.0,0.9917922205809947
Random Forest,0.1,6,entropy,126.0,0.9917712177121775
Random Forest,0.3,6,entropy,125.0,0.9917596390484007
Random Forest,0.45,6,entropy,127.0,0.9917532822757111
Random Forest,0.35,6,entropy,129.0,0.9917510548523208
Random Forest,0.25,6,entropy,126.0,0.9917380600689314
Random Forest,0.1,6,entropy,130.0,0.9917343173431737
Decision Tree,0.15,6,entropy,,0.9917145200984419
Random Forest,0.4,6,entropy,127.0,0.9917138461538461
Decision Tree,0.1,6,entropy,,0.991709717097171
Random Forest,0.35,6,entropy,126.0,0.9917088607594938
Random Forest,0.1,6,entropy,127.0,0.991660516605167
Random Forest,0.2,6,entropy,128.0,0.9916184615384617
Random Forest,0.1,6,entropy,128.0,0.9916113161131616
Random Forest,0.3,6,entropy,126.0,0.9916078753076286
Random Forest,0.15,6,entropy,128.0,0.9915914684167348
Random Forest,0.35,6,entropy,130.0,0.9915506329113929
Random Forest,0.2,6,entropy,126.0,0.9914646153846155
Random Forest,0.15,6,entropy,125.0,0.9914438063986876
Decision Tree,0.3,6,entropy,,0.9913658736669403
Random Forest,0.1,5,gini,127.0,0.9911193111931125
Random Forest,0.2,5,gini,126.0,0.9910953846153845
Random Forest,0.1,5,gini,125.0,0.9910455104551051
Random Forest,0.3,5,gini,125.0,0.990988515176374
Random Forest,0.1,5,gini,126.0,0.9908979089790896
Random Forest,0.15,5,gini,129.0,0.9908941755537325
Random Forest,0.15,5,gini,127.0,0.9908859721082856
Random Forest,0.25,5,gini,126.0,0.9908370260955192
Random Forest,0.4,5,gini,128.0,0.9908215384615384
Random Forest,0.3,5,gini,129.0,0.9908121410992617
Random Forest,0.2,5,gini,127.0,0.990756923076923
Random Forest,0.25,5,gini,130.0,0.990738552437223
Random Forest,0.4,5,gini,126.0,0.9907323076923075
Random Forest,0.25,5,gini,125.0,0.9907139340226486
Random Forest,0.35,5,gini,127.0,0.9907102672292549
Random Forest,0.45,5,gini,125.0,0.9907029540481403
Random Forest,0.3,5,gini,130.0,0.9906808859721083
Random Forest,0.25,5,gini,129.0,0.9906696208764154
Random Forest,0.15,5,gini,126.0,0.9906644790812138
Random Forest,0.45,5,gini,130.0,0.9906427789934356
Random Forest,0.15,5,gini,130.0,0.9906152584085316
Random Forest,0.35,5,gini,129.0,0.9906012658227845
Random Forest,0.2,5,gini,128.0,0.990596923076923
Random Forest,0.2,5,gini,125.0,0.9905784615384612
Random Forest,0.35,5,gini,130.0,0.9905731364275675
Random Forest,0.25,5,entropy,128.0,0.9905662235352044
Random Forest,0.25,5,entropy,125.0,0.99055145248646
Random Forest,0.4,5,gini,129.0,0.9905446153846154
Random Forest,0.45,5,gini,126.0,0.9905415754923413
Random Forest,0.15,5,entropy,130.0,0.9905414273995079
Random Forest,0.3,5,entropy,126.0,0.990529122231337
Random Forest,0.15,5,entropy,125.0,0.9905250205086132
Random Forest,0.45,5,gini,127.0,0.9905114879649889
Random Forest,0.2,5,entropy,128.0,0.9904984615384614
Random Forest,0.3,5,gini,127.0,0.9904963084495491
Random Forest,0.15,5,gini,128.0,0.9904922067268253
Random Forest,0.1,4,gini,125.0,0.9904920049200497
Random Forest,0.3,5,gini,126.0,0.9904881050041019
Random Forest,0.45,5,gini,128.0,0.9904759299781183
Random Forest,0.25,5,gini,128.0,0.9904726735598227
Random Forest,0.35,5,gini,126.0,0.9904500703234882
Random Forest,0.35,5,entropy,127.0,0.9904500703234881
Random Forest,0.4,5,gini,130.0,0.9904492307692309
Random Forest,0.2,5,gini,130.0,0.990436923076923
Random Forest,0.3,5,entropy,128.0,0.9904306808859716
Random Forest,0.1,5,entropy,126.0,0.9904305043050432
Random Forest,0.45,5,entropy,127.0,0.9903966083150985
Random Forest,0.1,5,gini,129.0,0.9903936039360391
Random Forest,0.35,5,gini,128.0,0.9903832630098459
Random Forest,0.35,5,entropy,129.0,0.9903832630098457
Random Forest,0.1,5,entropy,128.0,0.990381303813038
Random Forest,0.1,4,gini,126.0,0.9903690036900372
Random Forest,0.1,5,gini,130.0,0.9903690036900369
Random Forest,0.25,5,entropy,127.0,0.9903643525356962
Random Forest,0.2,5,entropy,127.0,0.9903630769230767
Random Forest,0.35,5,gini,125.0,0.9903551336146275
Random Forest,0.25,5,entropy,129.0,0.9903545051698671
Random Forest,0.2,5,entropy,130.0,0.9903507692307691
Random Forest,0.45,5,entropy,128.0,0.990325492341357
Random Forest,0.15,4,entropy,129.0,0.9903199343724363
Random Forest,0.35,5,entropy,128.0,0.990316455696203
Random Forest,0.4,5,entropy,125.0,0.9903138461538467
Random Forest,0.2,4,gini,129.0,0.9903138461538465
Random Forest,0.35,5,entropy,125.0,0.9903129395218003
Random Forest,0.4,5,gini,127.0,0.99031076923077
Random Forest,0.2,4,gini,125.0,0.9903076923076922
Random Forest,0.1,4,gini,130.0,0.9903075030750308
